Rank,Player,Y/G,Years,Tm
134,Ron Johnson,53.2,1969-1975,2TM
,Neal Anderson,53.2,1986-1993,chi
136,Andra Franklin,53.1,1981-1984,mia
,Joe Perry+,53.1,1948-1963,2TM
138,Mike Garrett,52.7,1966-1973,2TM
,Jeremy Hill,52.7,2014-2018,2TM
,Napoleon Kaufman,52.7,1995-2000,rai
141,Darren McFadden,52.6,2008-2017,2TM
142,Antowain Smith,52.5,1997-2005,4TM
,Joe Cribbs,52.5,1980-1988,4TM
144,Brian Westbrook,52.4,2002-2010,2TM
145,Eddie Price,52.3,1950-1955,nyg
146,Dan Towler,52.1,1950-1955,ram
147,Mark Ingram,52,2011-2022,3TM
148,Kareem Hunt,51.9,2017-2023,2TM
149,Kevin Mack,51.7,1985-1993,cle
150,Bam Morris,51.5,1994-1999,4TM
151,Earnest Jackson,51.4,1983-1988,3TM
,Tatum Bell,51.4,2004-2008,2TM
153,Pete Johnson,51.1,1977-1984,3TM
,Laurence Maroney,51.1,2006-2010,2TM
155,Rashaan Salaam,51,1995-1999,2TM
,Paul Lowe,51,1960-1969,2TM
,Sam Cunningham,51,1973-1982,nwe
158,Joe Morris,50.8,1982-1991,2TM
159,Duce Staley,50.7,1997-2006,2TM
160,James Conner,50.6,2017-2023,2TM
,Tim Biakabutuka,50.6,1996-2001,car
162,Sony Michel,49.9,2018-2022,3TM
,Marion Butts,49.9,1989-1995,3TM
,Cadillac Williams,49.9,2005-2011,2TM
165,Matt Snell,49.8,1964-1972,nyj
166,Damien Harris,49.7,2019-2023,2TM
167,Roger Craig,49.6,1983-1993,3TM
,Kevin Jones,49.6,2004-2008,2TM
169,Gus Edwards,49.4,2018-2023,rav
,Isaiah Crowell,49.4,2014-2018,2TM
171,Devin Singletary,49.3,2019-2023,2TM
,C.J. Anderson,49.3,2013-2019,4TM
173,James Brooks,49.1,1981-1992,4TM
174,Mark van Eeghen,48.9,1974-1983,2TM
175,Carlos Hyde,48.8,2014-2021,5TM
,Dave Hampton,48.8,1969-1976,3TM
177,Mike Pruitt,48.5,1976-1986,3TM
,Mike Rozier,48.5,1985-1991,2TM
,Chris Ivory,48.5,2010-2018,4TM
,Beanie Wells,48.5,2009-2012,crd
181,Dick Bass,48.4,1960-1969,ram
,Shonn Greene,48.4,2009-2014,2TM
183,Marion Barber III,48.3,2005-2011,2TM
,Charlie Garner,48.3,1994-2004,4TM
,Phillip Lindsay,48.3,2018-2022,4TM
186,Errict Rhett,48.2,1994-2000,3TM
,Devonta Freeman,48.2,2014-2021,3TM
188,Antonio Gibson,48,2020-2023,was
189,Ricky Bell,47.9,1977-1982,2TM
190,Ahmad Bradshaw,47.8,2007-2015,2TM
,LeGarrette Blount,47.8,2010-2018,5TM
192,Fred Lane,47.6,1997-1999,car
,John Henry Johnson+,47.6,1954-1966,4TM
194,Chris Warren,47.5,1990-2000,3TM
,Craig James,47.5,1984-1988,nwe
196,Kevan Barlow,47.4,2001-2006,2TM
197,Curtis Dickey,47.3,1980-1986,2TM
198,Fred Jackson,47.1,2007-2015,2TM
199,Leonard Russell,46.7,1991-1996,4TM
,Brandon Jacobs,46.7,2005-2013,2TM
,Clem Daniels,46.7,1960-1968,3TM
,Marlon Mack,46.7,2017-2022,3TM
203,Chet Mutryn,46.6,1946-1950,2TM
,BenJarvus Green-Ellis,46.6,2008-2013,2TM
,James Wilder,46.6,1981-1990,3TM
206,Raymont Harris,46.5,1994-2000,4TM
207,Otis Armstrong,46.4,1973-1980,den
208,D'Andre Swift,46.3,2020-2023,2TM
,Ben Tate,46.3,2011-2014,4TM
,Ken Willard,46.3,1965-1974,2TM
211,Steve Owens,46.2,1970-1974,det
212,William Green,45.8,2002-2005,cle
,Rueben Mayes,45.8,1986-1993,2TM
214,Cam Akers,45.6,2020-2023,2TM
215,Latavius Murray,45.2,2014-2023,6TM
,Anthony Thomas,45.2,2001-2007,4TM
