,,,Misc,,,,,,Games,,Rushing,,,
Player,HOFm,Chmp,AP1,PB,St,From,To,wAV,G,GS,Att,Yds,TD,Lng
Le'Veon Bell,37.6,0,2,3,5,2013,2021,61,96,81,1595,6554,42,81
Mike Garrett,37.48,1,1,2,6,1966,1973,66,104,83,1308,5481,35,77
Alvin Kamara,37.3,0,0,5,4,2017,2023,65,91,61,1187,5334,50,74
Don Perkins,37.25,0,1,6,8,1961,1968,57,107,106,1500,6217,42,59
William Andrews,37.23,0,0,4,5,1979,1986,67,87,72,1315,5986,30,33
Clinton Portis,36.7,0,0,2,7,2002,2010,72,113,108,2230,9923,75,78
Ezekiel Elliott,36.33,0,1,3,7,2016,2023,64,109,102,1930,8455,69,60
Jim Kiick,36.25,2,0,2,5,1968,1977,62,115,66,1029,3759,29,56
Garrison Hearst,36.18,0,0,2,7,1993,2004,71,126,105,1831,7966,30,96
Wilbert Montgomery,36.18,0,0,2,7,1977,1985,71,107,88,1540,6789,45,90
Larry Centers,35.68,1,1,3,8,1990,2003,53,198,108,615,2188,14,50
Mark Ingram,34.95,0,0,3,5,2011,2022,66,156,100,1817,8111,65,75
Clem Daniels,34.73,0,2,4,7,1960,1968,67,110,78,1146,5138,30,74
DeMarco Murray,34.73,0,1,3,7,2011,2017,60,99,86,1604,7174,49,91
Arian Foster,34.63,0,1,4,5,2009,2016,57,80,70,1476,6527,54,74
Charlie Garner,34.33,0,0,1,5,1994,2004,71,147,90,1537,7097,39,55
Todd Gurley,34.15,0,2,3,6,2015,2020,54,88,87,1460,6082,67,71
Neal Anderson,34.05,0,0,4,7,1986,1993,61,116,91,1515,6166,51,80
Kevin Faulk,33.85,3,0,0,4,1999,2011,56,161,47,864,3607,16,45
Gerald Riggs,33.83,1,0,3,5,1982,1991,55,129,73,1989,8188,69,58
Ken Willard,33.8,0,0,4,9,1965,1974,61,132,120,1622,6105,45,69
Derrick Henry,33.55,0,1,3,4,2016,2023,57,108,77,1848,8760,81,99
Ron Johnson,33.28,0,1,2,5,1969,1975,61,81,68,1204,4308,40,68
John Williams,33.23,0,0,2,10,1986,1995,65,149,133,1245,5006,18,48
Thomas Jones,33.08,0,0,1,9,2000,2011,62,180,125,2678,10591,68,71
Mercury Morris,32.73,2,0,3,3,1969,1976,50,99,42,804,4133,31,70
Joe Washington,32.65,1,0,1,4,1977,1985,58,119,53,1195,4839,12,41
Wendell Tyler,32.4,1,0,1,6,1977,1986,58,108,83,1344,6378,50,69
Reggie Bush,32.28,1,0,0,8,2006,2016,61,134,96,1286,5490,36,76
Preston Pearson,32.25,2,0,0,4,1967,1980,57,176,73,941,3609,13,53
Rodney Hampton,32.15,1,0,2,6,1990,1997,54,104,85,1824,6897,49,63
Curt Warner,32.1,0,0,3,6,1983,1990,60,100,94,1698,6844,56,60
Chris Warren,31.95,0,0,3,6,1990,2000,60,162,91,1791,7696,52,52
Christian McCaffrey,31.8,0,1,2,4,2017,2023,58,81,74,1135,5279,45,84
Ernie Green,31.65,1,0,2,6,1962,1968,53,89,76,668,3204,15,73
Alan Ameche,31.5,2,1,4,6,1955,1960,3,70,66,964,4045,40,79
Delvin Williams,31.15,0,1,2,6,1974,1981,56,100,77,1312,5598,33,80
Rocky Bleier,31.13,4,0,0,6,1968,1980,46,140,74,928,3865,23,70
MacArthur Lane,31.13,0,0,1,6,1968,1978,64,133,91,1206,4656,30,75
Tony Galbreath,31.1,1,0,0,4,1976,1987,58,170,73,1031,4072,34,74
Ronnie Harmon,31.05,0,0,1,1,1986,1997,64,181,27,615,2774,10,48
John Brockington,30.95,0,1,3,7,1971,1977,53,95,84,1347,5185,30,53
Billy Sims,30.93,0,0,3,5,1980,1984,58,60,58,1131,5106,42,81
Keith Lincoln,30.75,1,2,5,4,1961,1968,48,99,69,758,3383,19,86
Robert Smith,30.73,0,0,2,6,1993,2000,60,98,72,1411,6818,32,78
Michael Turner,30.58,0,1,2,5,2004,2012,55,134,74,1639,7338,66,83
Dorsey Levens,30.4,1,0,1,3,1994,2004,54,144,58,1243,4955,36,52
James Wilder,30.33,0,0,1,7,1981,1990,63,129,102,1586,6008,37,75
Terry Metcalf,30.28,0,0,3,5,1973,1981,57,81,61,766,3498,24,75
Joe Morris,30.28,1,1,2,5,1982,1991,46,110,68,1411,5585,50,65
George Rogers,30.25,1,1,2,6,1981,1987,46,92,78,1692,7176,54,79
Stephen Davis,30.2,0,0,3,6,1996,2006,56,143,102,1945,8052,65,76
Mike Pruitt,30.2,0,0,2,8,1976,1986,59,152,114,1844,7378,51,77
Tony Nathan,30.03,0,1,0,5,1979,1987,60,123,63,732,3543,16,46
Sam Cunningham,29.75,0,0,1,8,1973,1982,62,107,94,1385,5453,43,75
Otis Armstrong,29.6,0,1,2,4,1973,1980,53,96,58,1023,4453,25,43
Dalvin Cook,29.4,0,0,4,5,2017,2023,52,79,72,1321,6102,47,81
Tommy Mason,29.3,0,1,3,5,1961,1971,50,124,65,1040,4203,32,71
DeAngelo Williams,29.3,0,0,1,6,2006,2016,61,142,96,1730,8096,61,77
Terry Allen,29.23,0,0,1,9,1991,2001,60,130,114,2152,8614,73,55
Joe Cribbs,29.18,0,0,3,6,1980,1988,54,102,71,1309,5356,27,62
Willie Parker,29.15,2,0,2,4,2004,2009,44,79,60,1253,5378,24,80
Paul Lowe,29.1,2,2,2,6,1960,1969,49,98,74,1026,4995,38,87
Keith Byars,28.8,0,0,1,12,1986,1998,60,189,160,865,3109,23,77
Larry Johnson,28.63,0,1,2,4,2003,2011,51,85,55,1427,6223,55,65
Norm Bulaich,28.28,1,0,1,5,1970,1979,50,120,66,814,3362,30,67
Willis McGahee,28.28,0,0,2,7,2004,2013,56,142,95,2095,8474,65,77
Joseph Addai,28.25,1,0,1,4,2006,2011,50,78,60,1095,4453,39,46
Deuce McAllister,28.23,0,0,2,4,2001,2008,55,97,76,1429,6096,49,76
Dick Bass,28.2,0,0,3,7,1960,1969,52,112,89,1218,5417,34,73
Emerson Boozer,28.13,1,0,2,8,1966,1975,52,118,99,1291,5135,52,54
Antowain Smith,28.05,2,0,0,4,1997,2005,48,131,75,1784,6881,54,59
Duce Staley,27.98,1,0,0,4,1997,2006,52,114,75,1430,5785,24,64
Joe Morrison,27.73,0,0,0,6,1959,1972,60,184,102,677,2474,18,70
Ed Podolak,27.65,1,0,0,6,1969,1977,53,104,65,1157,4451,34,65
Carl Garrett,27.48,1,0,1,6,1969,1977,49,110,67,1031,4197,28,80
Walt Garrison,27.35,1,0,1,6,1966,1974,48,119,71,899,3886,30,41
Matt Snell,27.2,1,1,3,6,1964,1972,45,86,74,1057,4285,24,60
Michael Pittman,27.08,1,0,0,5,1998,2008,50,151,82,1392,5627,25,78
Altie Taylor,27.03,0,0,0,6,1969,1976,59,102,83,1170,4308,24,38
Edgar Bennett,26.95,1,0,0,5,1992,1999,50,112,77,1115,3992,21,43
Mel Gray,26.65,0,3,4,0,1986,1997,11,169,2,19,99,1,14
