Rank,Player,Yds,Years,Tm
127,Bert Jones,"18,190",1973-1982,2TM
128,Jim McMahon,"18,148",1982-1996,6TM
129,Kyle Orton,"18,037",2005-2014,5TM
130,Chad Pennington,"17,823",2000-2010,2TM
131,Josh McCown,"17,731",2002-2019,9TM
132,Baker Mayfield,"17,651",2018-2023,4TM
133,Blake Bortles,"17,649",2014-2019,2TM
134,Milt Plum,"17,536",1957-1969,4TM
135,Matt Cassel,"17,508",2005-2018,7TM
136,Wade Wilson,"17,283",1981-1998,5TM
137,Bill Kenney,"17,277",1980-1988,kan
138,Don Meredith,"17,199",1960-1968,dal
139,Stan Humphries,"17,191",1989-1997,2TM
140,Doug Williams,"16,998",1978-1989,2TM
141,Elvis Grbac,"16,774",1994-2001,3TM
142,Jason Campbell,"16,771",2006-2014,5TM
143,Jeff Hostetler,"16,430",1985-1997,3TM
144,Rodney Peete,"16,338",1989-2004,6TM
145,Deshaun Watson,"16,324",2017-2023,2TM
146,Mike Tomczak,"16,079",1985-1999,4TM
147,Greg Landry,"16,052",1968-1984,3TM
148,Frank Ryan,"16,042",1958-1970,3TM
149,David Garrard,"16,003",2002-2010,jax
150,Scott Mitchell,"15,692",1991-2001,4TM
151,Justin Herbert,"15,681",2020-2023,sdg
152,Marcus Mariota,"15,656",2015-2022,3TM
153,Ed Brown,"15,600",1954-1965,3TM
154,Jimmy Garoppolo,"15,368",2014-2023,3TM
155,Mark Sanchez,"15,357",2009-2018,4TM
156,Erik Kramer,"15,337",1987-1999,4TM
157,Tony Banks,"15,315",1996-2005,4TM
158,Teddy Bridgewater,"15,120",2014-2023,6TM
159,Case Keenum,"14,884",2013-2022,7TM
160,Kordell Stewart,"14,746",1995-2005,3TM
161,Doug Flutie,"14,715",1986-2005,4TM
162,Joey Harrington,"14,693",2002-2007,3TM
163,Sid Luckman+,"14,686",1939-1950,chi
164,David Carr,"14,452",2002-2012,4TM
165,Bubby Brister,"14,445",1986-2000,5TM
166,Marc Wilson,"14,391",1980-1990,2TM
167,Nick Foles,"14,227",2012-2022,6TM
168,Bill Nelsen,"14,165",1963-1972,2TM
169,Josh Freeman,"13,873",2009-2015,3TM
170,Kyler Murray,"13,848",2019-2022,crd
171,Lamar Jackson,"13,819",2018-2023,rav
172,Gary Danielson,"13,764",1976-1988,2TM
173,Eddie LeBaron,"13,399",1952-1963,2TM
174,Chad Henne,"13,290",2008-2022,3TM
175,Joe Burrow,"13,004",2020-2023,cin
176,Bill Munson,"12,896",1964-1979,5TM
177,Don Majkowski,"12,700",1987-1996,3TM
178,Geno Smith,"12,590",2013-2023,4TM
179,Daniel Jones,"12,487",2019-2023,nyg
180,Colin Kaepernick,"12,271",2011-2016,sfo
181,Rick Mirer,"11,969",1993-2003,5TM
182,Tom Flores+,"11,959",1960-1969,3TM
183,Mitchell Trubisky,"11,922",2017-2023,3TM
