Rank,Player,Yds,Years,Tm
127,Vernon Davis,"7,562",2006-2019,3TM
128,Nat Moore,"7,546",1974-1986,mia
129,Roy Jefferson,"7,539",1965-1976,3TM
130,Gary Garrison,"7,538",1966-1977,2TM
131,Odell Beckham Jr.,"7,529",2014-2023,4TM
132,Dez Bryant,"7,506",2010-2020,2TM
133,Michael Crabtree,"7,499",2009-2019,4TM
134,Tyler Lockett,"7,470",2015-2023,sea
135,Zach Ertz,"7,434",2013-2023,2TM
136,Ed McCaffrey,"7,422",1991-2003,3TM
137,Marvin Jones,"7,421",2012-2023,3TM
138,Bob Hayes+,"7,414",1965-1975,2TM
139,Pete Retzlaff,"7,412",1956-1966,phi
140,Wayne Chrebet,"7,365",1995-2005,nyj
141,Otis Taylor,"7,306",1965-1975,kan
142,Boyd Dowler,"7,270",1959-1971,2TM
143,Adam Thielen,"7,263",2014-2023,2TM
144,Antonio Freeman,"7,251",1995-2003,2TM
145,Jared Cook,"7,237",2009-2021,6TM
,T.J. Houshmandzadeh,"7,237",2001-2011,4TM
147,Dwayne Bowe,"7,208",2007-2015,2TM
148,Lionel Taylor,"7,195",1959-1968,3TM
149,Darrell Jackson,"7,132",2000-2008,3TM
150,Carl Pickens,"7,129",1992-2000,2TM
151,Ken Burrough,"7,102",1970-1981,2TM
152,Isaac Curtis,"7,101",1973-1984,cin
153,Reggie Rucker,"7,065",1970-1981,4TM
154,John Gilliam,"7,056",1967-1977,5TM
155,Elroy Hirsch+,"7,029",1946-1957,2TM
156,Shawn Jefferson,"7,023",1991-2003,4TM
157,Pat Tilley,"7,005",1976-1986,crd
158,Jake Reed,"6,999",1991-2002,2TM
159,J.T. Smith,"6,974",1978-1990,3TM
160,Derrick Alexander,"6,971",1994-2002,4TM
161,Nate Washington,"6,954",2005-2015,3TM
162,Allen Robinson,"6,902",2014-2023,4TM
163,Marshall Faulk+,"6,875",1994-2005,2TM
164,Gene Washington,"6,856",1969-1979,2TM
165,Jeremy Maclin,"6,835",2009-2017,3TM
166,Ahmad Rashad,"6,831",1972-1982,3TM
167,Charley Hennigan,"6,823",1960-1966,oti
168,Julian Edelman,"6,822",2009-2020,nwe
169,Larry Centers,"6,797",1990-2003,4TM
