,,,Misc,,,,,,Games,,Receiving,,,
Player,HOFm,Chmp,AP1,PB,St,From,To,wAV,G,GS,Rec,Yds,TD,Lng
Henry Childs,18.45,0,0,1,5,1974,1984,34,103,73,223,3401,28,59
Willie Frazier,18.38,0,1,3,4,1964,1975,32,121,64,209,3088,36,80
Marcus Pollard,18.03,0,0,0,9,1995,2008,36,192,135,349,4280,40,86
Mark Chmura,17.6,1,0,3,4,1993,1999,22,89,62,188,2253,17,33
Zach Miller,17.43,1,0,1,7,2007,2014,28,110,106,328,3804,20,86
Chad Lewis,17.4,1,0,3,5,1997,2005,22,116,77,229,2361,23,52
Don Warren,17.05,3,0,0,14,1979,1992,22,193,181,244,2536,7,35
Jim Mandich,16.93,3,0,0,1,1970,1978,22,119,23,121,1406,23,44
Hoby Brenner,16.83,0,0,1,12,1981,1993,31,175,157,267,3849,21,57
Jermaine Gresham,16.75,0,0,2,9,2010,2018,28,132,118,377,3752,29,55
Jackie Harris,16.58,0,0,0,8,1990,2001,33,167,116,393,4410,25,66
Austin Hooper,16.58,0,0,2,3,2016,2023,27,111,61,347,3549,25,88
Randy Grossman,16.53,4,0,0,2,1974,1981,17,118,45,119,1514,5,54
Randy McMichael,16.38,0,0,0,10,2002,2012,33,164,150,426,4539,24,46
Eric Ebron,15.98,0,0,1,4,2014,2021,29,106,59,351,3837,33,61
Larry Seiple,15.73,2,0,0,1,1967,1977,28,150,10,73,934,7,41
Darren Waller,15.53,0,0,1,3,2015,2023,28,80,58,326,3854,19,75
Jermichael Finley,15.38,1,0,0,3,2008,2013,27,70,48,223,2785,20,62
Bob Klein,14.98,0,0,0,9,1969,1979,30,145,120,219,2687,23,54
Monty Stickles,14.95,0,0,0,9,1960,1968,30,115,107,222,3199,16,54
Emery Moorehead,14.9,1,0,0,7,1977,1988,26,158,89,224,2980,15,85
Billy Truax,14.75,1,0,0,6,1964,1973,26,114,73,199,2458,17,59
Charles Clay,14.63,0,0,0,9,2011,2019,29,127,110,357,3868,24,67
Rickey Dudley,14.6,1,0,0,5,1996,2004,25,108,87,221,3024,33,76
Evan Engram,14.48,0,0,1,6,2017,2023,26,88,70,371,3895,20,75
Tyler Higbee,14.48,1,0,0,7,2016,2023,25,116,107,326,3341,20,44
Pete Holohan,14.45,0,0,0,0,1981,1992,29,163,44,363,3981,16,51
Bubba Franks,14.3,0,0,3,6,2000,2008,20,122,98,262,2347,32,31
Tony McGee,14.2,0,0,0,10,1993,2003,28,156,150,322,4089,21,58
Tom Mitchell,14.18,1,0,0,6,1966,1977,30,145,93,239,3181,24,60
Jack Doyle,14.15,0,0,2,5,2013,2021,22,131,84,295,2729,24,34
Jordan Reed,14.08,0,0,1,3,2013,2020,25,75,36,355,3602,28,38
Pete Metzelaars,14.05,0,0,0,9,1982,1997,28,235,157,383,3686,29,53
Byron Chamberlain,13.88,2,0,1,2,1995,2003,17,106,25,167,2048,6,88
Paul Costa,13.88,1,0,2,6,1965,1972,25,100,88,102,1699,6,63
Desmond Clark,13.73,0,0,0,6,1999,2010,27,162,105,323,3591,27,52
Dwayne Carswell,13.6,2,0,1,5,1994,2005,16,163,82,192,1707,15,43
Jean Fugett,13.55,0,0,1,4,1972,1979,24,103,55,156,2270,28,54
Mike Barber,13.48,0,0,0,6,1976,1985,27,129,95,222,2788,17,79
Jim Whalen,13.43,0,1,0,6,1965,1971,29,89,65,197,3155,20,87
Daniel Graham,13.4,2,0,0,7,2002,2012,19,148,117,224,2490,25,48
T.J. Hockenson,13.38,0,0,2,2,2019,2023,21,63,52,282,2891,20,81
Alvin Reed,13.3,0,0,2,6,1967,1975,25,116,77,214,2983,14,60
Julius Thomas,13.25,0,0,2,5,2011,2017,21,71,53,226,2406,36,74
Freddie Jones,13.23,0,0,0,7,1997,2004,26,123,112,404,4232,22,62
Derrick Ramsey,13.2,2,0,0,2,1978,1987,18,122,38,188,2364,21,66
Kyle Brady,13.15,0,0,0,13,1995,2007,26,197,175,343,3519,25,42
Hunter Henry,12.85,0,0,0,5,2016,2023,26,95,78,305,3617,34,59
Clint Didier,12.78,2,0,0,3,1982,1989,18,105,39,141,1923,21,71
Christian Fauria,12.7,2,0,0,9,1995,2007,17,191,122,252,2529,22,33
Coby Fleener,12.7,0,0,0,4,2012,2017,25,87,54,255,3080,22,73
Pete Lammons,12.68,1,0,1,6,1966,1972,24,95,83,185,2364,14,61
Dallas Goedert,12.58,0,0,0,5,2018,2023,25,75,58,274,3244,20,49
Keith Krepfle,12.48,0,0,0,5,1975,1982,25,97,68,152,2425,19,55
Rich McGeorge,12.45,0,0,0,7,1970,1978,25,116,101,175,2370,13,51
