Rank,Player,Y/G,Years,Tm
,Anthony Carter,55.2,1985-1995,2TM
,Hakeem Nicks,55.2,2009-2015,2TM
,Charley Taylor+,55.2,1964-1977,was
138,Antonio Freeman,54.9,1995-2003,2TM
,Andre Rison,54.9,1989-2000,7TM
140,Louis Lipps,54.7,1984-1992,2TM
,Jerry Jeudy,54.7,2020-2023,den
,Stanley Morgan,54.7,1977-1990,2TM
143,Mal Kutner,54.6,1946-1950,crd
,Mike Williams,54.6,2017-2023,sdg
,Paul Warfield+,54.6,1964-1977,2TM
146,Keenan McCardell,54.4,1992-2007,5TM
147,Wesley Walker,53.9,1977-1989,nyj
148,Santonio Holmes,53.8,2006-2014,3TM
,Emmanuel Sanders,53.8,2010-2021,5TM
150,Bobby Mitchell+,53.7,1958-1968,2TM
,Eric Moulds,53.7,1996-2007,3TM
,Percy Harvin,53.7,2009-2016,4TM
153,Joe Horn,53.6,1996-2007,3TM
,Antonio Bryant,53.6,2002-2009,4TM
155,Chris Burford,53.4,1960-1967,kan
,Doug Baldwin,53.4,2011-2018,sea
157,Eric Martin,53.3,1985-1994,2TM
158,Marquise Brown,53.2,2019-2023,2TM
159,Jimmy Orr,53.1,1958-1970,2TM
,Pierre Garcon,53.1,2008-2018,3TM
161,Courtland Sutton,53,2018-2023,den
162,Robert Woods,52.9,2013-2023,4TM
,John Stallworth+,52.9,1974-1987,pit
164,Jim Benton,52.8,1938-1947,2TM
165,Dante Lavelli+,52.7,1946-1956,cle
,Bill Groman,52.7,1960-1965,3TM
167,Pete Pihos+,52.5,1947-1955,phi
168,Michael Crabtree,52.4,2009-2019,4TM
,Derrick Mason,52.4,1997-2011,4TM
,Eric Decker,52.4,2010-2017,3TM
171,Santana Moss,52.2,2001-2014,2TM
,Charlie Brown,52.2,1982-1987,2TM
173,Al Baldwin,52.1,1947-1950,2TM
174,Bernie Casey,51.8,1961-1968,2TM
,Del Shofner,51.8,1957-1967,2TM
176,Golden Tate,51.7,2010-2020,4TM
,Bob Mann,51.7,1948-1954,2TM
178,Bruce Hill,51.6,1987-1991,tam
179,Aaron Hernandez,51.5,2010-2012,nwe
180,Elbert Dubenion,51.4,1960-1968,buf
181,Danny Abramowicz,51.2,1967-1974,2TM
,Tony Martin,51.2,1990-2001,3TM
183,Jeff Graham,51.1,1991-2001,5TM
184,Adam Thielen,51,2014-2023,2TM
185,Lee Evans,50.9,2004-2011,2TM
186,Charlie Joiner+,50.8,1969-1986,3TM
,Tyler Boyd,50.8,2016-2023,cin
,Red Phillips,50.8,1958-1967,2TM
189,Stephone Paige,50.7,1983-1991,kan
190,Carlos Carson,50.6,1980-1989,2TM
191,Germane Crowell,50.4,1998-2002,det
,Dwight Clark,50.4,1979-1987,sfo
193,Kenny Golladay,50.3,2017-2022,2TM
194,Antonio Gates,50.2,2003-2018,sdg
195,Drew Pearson+,50.1,1973-1983,dal
,Irving Fryar,50.1,1984-2000,4TM
,Sterling Shepard,50.1,2016-2023,nyg
,Webster Slaughter,50.1,1986-1998,5TM
199,Sammy White,50,1976-1985,min
,Chris Chambers,50,2001-2010,3TM
,Amani Toomer,50,1996-2008,nyg
202,Darnay Scott,49.9,1994-2002,2TM
,Kellen Winslow,49.9,2004-2013,4TM
,Harold Jackson,49.9,1968-1983,5TM
205,Julian Edelman,49.8,2009-2020,nwe
206,Corey Davis,49.7,2017-2022,2TM
,Roy Williams,49.7,2004-2011,3TM
208,Frank Sanders,49.6,1995-2003,2TM
,Martavis Bryant,49.6,2014-2018,2TM
,T.J. Houshmandzadeh,49.6,2001-2011,4TM
211,Kelvin Benjamin,49.5,2014-2018,3TM
,Mark Carrier,49.5,1987-1998,3TM
,Kyle Pitts,49.5,2021-2023,atl
214,Donald Driver,49.4,1999-2012,gnb
,Zach Ertz,49.4,2013-2023,2TM
,Harold Carmichael+,49.4,1971-1984,2TM
217,Shannon Sharpe+,49.3,1990-2003,2TM
,Braylon Edwards,49.3,2005-2012,4TM
,Curtis Conway,49.3,1993-2004,4TM
220,Johnny Knox,49.2,2009-2011,chi
221,Sonny Randle,49.1,1959-1968,3TM
,Michael Westbrook,49.1,1995-2002,2TM
,Marvin Jones,49.1,2012-2023,3TM
,Ahmad Rashad,49.1,1972-1982,3TM
225,Mike Williams,49,2010-2014,2TM
,Gene Washington,49,1969-1979,2TM
227,Jerry Butler,48.9,1979-1986,buf
228,Brian Blades,48.8,1988-1998,sea
229,DeVante Parker,48.7,2015-2023,2TM
230,Christian McCaffrey,48.6,2017-2023,2TM
231,Steve Watson,48.5,1979-1987,den
,Sammy Watkins,48.5,2014-2022,5TM
,Billy Hillenbrand,48.5,1946-1948,2TM
,Wayne Chrebet,48.5,1995-2005,nyj
235,Ricky Sanders,48.3,1986-1995,2TM
,Javon Walker,48.3,2002-2009,3TM
237,Darren Waller,48.2,2015-2023,3TM
238,Jason Witten,48.1,2003-2020,2TM
,Steve Johnson,48.1,2008-2015,3TM
240,Jordan Reed,48,2013-2020,2TM
,Haywood Jeffires,48,1987-1996,2TM
242,Johnnie Morton,47.9,1994-2005,3TM
243,Pat Tilley,47.7,1976-1986,crd
244,Dave Parks,47.6,1964-1973,3TM
,Jakobi Meyers,47.6,2019-2023,2TM
246,Cliff Branch+,47.5,1972-1985,rai
,Deion Branch,47.5,2002-2012,2TM
248,Bill Brooks,47.3,1986-1996,3TM
,Michael Jackson,47.3,1991-1998,2TM
250,Randall Cobb,47.2,2011-2023,4TM
,Fred Biletnikoff+,47.2,1965-1978,rai
,Roy Green,47.2,1979-1992,2TM
