Rank,Player,Yds,Years,Tm
127,Ronnie Brown,"5,391",2005-2014,4TM
128,Christian McCaffrey,"5,378",2017-2023,2TM
,Willie Parker,"5,378",2004-2009,pit
130,Joe Cribbs,"5,356",1980-1988,4TM
,Doug Martin,"5,356",2012-2018,2TM
132,Jamal Anderson,"5,336",1994-2001,atl
133,Hugh McElhenny+,"5,281",1952-1964,4TM
134,Ryan Mathews,"5,261",2010-2016,2TM
135,Chris Ivory,"5,237",2010-2018,4TM
136,Natrone Means,"5,215",1993-2000,3TM
137,Adrian Murrell,"5,199",1993-2003,4TM
138,John Brockington,"5,185",1971-1977,2TM
,Marion Butts,"5,185",1989-1995,3TM
140,Lenny Moore+,"5,174",1956-1967,clt
141,Ollie Matson+,"5,173",1952-1966,4TM
142,Russell Wilson,"5,167",2012-2023,2TM
143,Josh Jacobs,"5,148",2019-2023,rai
144,Clem Daniels,"5,138",1960-1968,3TM
145,Emerson Boozer,"5,135",1966-1975,nyj
146,Kevin Mack,"5,123",1985-1993,cle
147,Billy Sims,"5,106",1980-1984,det
148,Dexter Bussey,"5,105",1974-1984,det
149,Brandon Jacobs,"5,094",2005-2013,2TM
150,Mike Alstott,"5,088",1996-2006,tam
151,Julius Jones,"5,068",2004-2010,3TM
152,John Williams,"5,006",1986-1995,2TM
153,Paul Lowe,"4,995",1960-1969,2TM
154,Carlos Hyde,"4,979",2014-2021,5TM
155,John David Crow,"4,963",1958-1968,2TM
156,Tyrone Wheatley,"4,962",1995-2004,2TM
157,Greg Bell,"4,959",1984-1990,3TM
158,Gale Sayers+,"4,956",1965-1971,chi
159,Dorsey Levens,"4,955",1994-2004,3TM
160,Ahmad Bradshaw,"4,928",2007-2015,2TM
,Randall Cunningham,"4,928",1985-2001,4TM
162,Christian Okoye,"4,897",1987-1992,kan
163,Lamar Smith,"4,853",1994-2003,4TM
164,Joe Washington,"4,839",1977-1985,4TM
165,Lamar Jackson,"4,817",2018-2023,rav
166,Napoleon Kaufman,"4,792",1995-2000,rai
167,Robert Newhouse,"4,784",1972-1983,dal
168,Marion Barber III,"4,780",2005-2011,2TM
169,Chester Taylor,"4,740",2002-2011,4TM
170,Devonta Freeman,"4,720",2014-2021,3TM
,Marion Motley+,"4,720",1946-1955,2TM
172,Donny Anderson,"4,696",1966-1974,2TM
173,J.D. Smith,"4,672",1956-1966,3TM
174,Saquon Barkley,"4,661",2018-2023,nyg
175,MacArthur Lane,"4,656",1968-1978,3TM
176,Stump Mitchell,"4,649",1981-1989,crd
177,Tony Collins,"4,647",1981-1990,2TM
178,Tom Matte,"4,646",1961-1972,clt
179,Alex Webster,"4,638",1955-1964,nyg
180,Abner Haynes,"4,630",1960-1967,4TM
181,Bob Hoernschemeyer,"4,548",1946-1955,3TM
182,Ted Brown,"4,546",1979-1986,min
183,Marv Hubbard,"4,544",1969-1977,2TM
184,Dave Hampton,"4,536",1969-1976,3TM
185,Leonard Fournette,"4,478",2017-2022,2TM
