,,,Misc,,,,,,Games,,Receiving,,,
Player,HOFm,Chmp,AP1,PB,St,From,To,wAV,G,GS,Rec,Yds,TD,Lng
Gino Cappelletti,48.98,0,0,5,7,1960,1970,78,153,99,292,4589,42,63
Mike Evans,48.19,1,0,4,9,2014,2023,66,142,141,707,10811,84,72
Jimmy Orr,47.93,1,1,2,10,1958,1970,65,149,126,400,7914,66,84
Tony Hill,47.81,1,0,3,9,1977,1986,68,141,108,479,7988,51,75
Nat Moore,47.12,0,1,1,9,1974,1986,79,183,124,510,7546,74,79
Cordarrelle Patterson,46.85,1,4,4,4,2013,2023,40,159,60,291,2770,15,79
Mark Clayton,45.4,0,0,5,10,1983,1993,78,158,142,582,8974,84,78
Donald Driver,45.35,1,0,3,10,1999,2012,76,205,155,743,10137,61,85
Billy Johnson,44.98,0,1,3,3,1974,1988,46,143,51,337,4211,25,71
Gene Washington,44.78,0,2,4,10,1969,1979,71,140,137,385,6856,60,79
Joey Galloway,44.63,0,0,0,11,1995,2010,78,198,175,701,10950,77,81
Art Powell,43.92,0,2,4,8,1959,1968,67,117,104,479,8046,81,85
Demaryius Thomas,42.43,1,0,4,8,2010,2019,69,143,128,724,9763,63,86
John Taylor,42.33,3,0,2,7,1987,1995,57,121,101,347,5598,43,97
Anthony Miller,42.13,0,0,5,10,1988,1997,74,155,152,595,9148,63,76
Stefon Diggs,41.75,0,1,3,8,2015,2023,75,125,117,752,9432,64,75
Mark Duper,41.13,0,0,3,10,1982,1992,78,146,136,511,8869,59,85
Ed McCaffrey,40.78,3,0,1,6,1991,2003,67,185,109,565,7422,55,78
Eric Moulds,40.75,0,0,3,11,1996,2007,78,186,157,764,9995,49,84
Jordy Nelson,40.55,1,0,1,7,2008,2018,73,151,102,613,8587,72,93
John Gilliam,40.42,0,0,4,9,1967,1977,73,151,126,382,7056,48,84
Vincent Jackson,40.28,0,0,3,8,2005,2016,77,155,137,540,9080,57,95
Dwight Clark,40.15,2,1,2,7,1979,1987,61,134,97,506,6750,48,80
Gary Garrison,40.04,0,0,4,9,1966,1977,70,134,124,405,7538,58,84
T.Y. Hilton,39.4,0,0,4,8,2012,2022,72,146,121,638,9812,53,87
Antonio Freeman,38.6,1,1,1,6,1995,2003,65,132,91,477,7251,61,84
Joe Horn,38.45,0,0,4,8,1996,2007,70,163,114,603,8744,58,76
Marques Colston,38.38,1,0,0,7,2006,2015,72,146,106,711,9759,72,86
Haven Moses,38.33,0,0,2,12,1968,1981,61,199,178,448,8091,56,76
Keenan Allen,38.25,0,0,5,9,2013,2023,67,131,126,838,9806,56,54
Greg Jennings,37.83,1,0,2,8,2006,2015,66,143,119,571,8291,64,86
Isaac Curtis,37.73,0,0,4,12,1973,1984,67,167,160,416,7101,53,85
Plaxico Burress,37.23,1,0,0,10,2000,2012,70,148,138,553,8499,64,78
Terry Glenn,37.08,1,0,1,9,1996,2007,67,137,127,593,8823,44,86
Santana Moss,37,0,0,1,9,2001,2014,72,197,135,732,10283,66,78
Mel Gray,36.73,0,1,4,8,1971,1982,61,145,121,351,6644,45,80
Julian Edelman,36.68,3,0,0,7,2009,2020,61,137,85,620,6822,36,77
Amani Toomer,36.43,1,0,0,10,1996,2008,69,190,141,668,9497,54,82
Emmanuel Sanders,36.28,1,0,2,9,2010,2021,63,172,122,704,9245,51,75
John Jefferson,36.08,0,2,4,7,1978,1985,55,102,96,351,5714,47,65
Dez Bryant,35.9,0,1,3,7,2010,2020,61,119,99,537,7506,75,85
Frank Lewis,35.65,2,0,1,9,1971,1983,60,155,118,397,6724,40,92
Michael Thomas,35.63,0,2,3,4,2016,2023,57,79,69,557,6450,35,72
Troy Brown,35.5,3,0,1,5,1993,2007,56,192,70,557,6366,31,82
George Sauer,35.25,1,2,4,5,1965,1970,52,84,79,309,4965,28,77
Dante Hall,35.13,0,1,2,0,2000,2008,29,112,11,162,1747,9,75
Rob Moore,34.9,0,1,2,10,1990,1999,64,153,146,628,9368,49,71
Sonny Randle,34.75,0,1,4,7,1959,1968,55,122,95,365,5996,65,86
Ken Burrough,34.04,0,0,2,9,1970,1981,66,156,124,421,7102,49,85
Odell Beckham Jr.,33.88,1,0,3,6,2014,2023,55,100,93,540,7480,56,89
Cris Collinsworth,33.7,0,0,3,7,1981,1988,63,107,90,417,6698,36,74
Freddie Solomon,33.15,2,0,0,10,1975,1985,58,151,116,371,5846,48,93
Jarvis Landry,33.13,0,0,5,8,2014,2022,56,132,116,713,7870,38,71
Laveranues Coles,33.05,0,0,1,9,2000,2009,68,153,138,674,8609,49,64
Reggie Rucker,33.01,1,0,0,10,1970,1981,61,159,140,447,7065,44,69
Johnny Morris,33,1,1,1,7,1958,1967,54,121,98,356,5059,31,80
Anthony Carter,32.65,0,0,3,9,1985,1995,61,140,126,486,7733,55,73
Mike Quick,32.63,0,2,5,6,1982,1990,45,101,90,363,6464,61,99
Ernest Givins,32.55,0,0,2,10,1986,1995,64,147,147,571,8215,49,83
Golden Tate,32.5,1,0,1,7,2010,2020,58,160,114,695,8278,46,80
Amari Cooper,32.43,0,0,4,8,2015,2023,58,130,123,617,8603,56,90
Al Toon,32.35,0,1,3,8,1985,1992,56,107,95,517,6605,31,78
Eric Martin,32.28,0,0,1,9,1985,1994,67,153,119,553,8161,49,84
Tony Martin,32.08,0,0,1,6,1990,2001,66,177,100,593,9065,56,99
Ricky Proehl,31.98,2,0,0,6,1990,2006,56,244,109,669,8878,54,78
Doug Baldwin,31.93,1,0,2,6,2011,2018,54,123,90,493,6563,49,80
Johnnie Morton,31.85,0,0,0,11,1994,2005,69,182,156,624,8719,43,98
Eddie Kennison,31.78,0,0,0,12,1996,2008,69,179,154,548,8345,42,90
Cooper Kupp,31.78,1,1,1,5,2017,2023,52,82,68,523,6595,47,75
Ahmad Rashad,31.65,0,0,4,10,1972,1982,56,139,131,495,6831,44,98
Terance Mathis,31.5,0,0,1,8,1990,2002,65,206,130,689,8809,63,81
J.T. Smith,31.33,0,1,2,6,1978,1990,57,169,115,544,6974,35,77
Randall Cobb,31.23,0,0,1,5,2011,2023,64,161,88,628,7605,53,75
Tyler Lockett,31.1,0,1,1,8,2015,2023,59,132,108,556,7351,56,74
Dave Parks,30.68,0,1,3,9,1964,1973,52,118,107,360,5619,44,83
Brandin Cooks,30.43,0,0,0,9,2014,2023,66,137,125,643,8725,50,98
Robert Woods,30.1,1,0,0,9,2013,2023,56,148,136,645,7831,38,94
Willie Gault,29.85,1,0,0,9,1983,1993,56,170,141,333,6635,44,87
Deion Branch,29.75,2,0,0,7,2002,2012,52,140,111,518,6644,39,79
Jack Snow,29.6,0,0,1,10,1965,1975,61,150,139,340,6012,45,84
Ricky Sanders,29.48,2,0,0,4,1986,1995,51,134,66,483,6477,37,71
Haywood Jeffires,29.4,0,1,3,6,1987,1996,50,132,102,535,6334,50,87
Mark Carrier,29.35,0,0,1,10,1987,1998,61,177,138,569,8763,48,78
